title,location,price,area,rooms,interior
House August Vermeylenstraat,1064 AB Amsterdam (Slotermeer-Zuidwest),"€2,195 per month",118 m²,5 rooms,Upholstered
Apartment Wagenaarstraat 318 4,1093 CX Amsterdam (Dapperbuurt),"€2,550 per month",108 m²,4 rooms,Furnished
Apartment Kanteel 12,1083 DA Amsterdam (Buitenveldert-Oost),"€2,500 per month",131 m²,4 rooms,Upholstered
Apartment Kleiburg 1027,"1104 EA Amsterdam (Bijlmer Oost (E,G,K))","€1,500 per month",78 m²,3 rooms,Furnished
Apartment Galgenstraat 11 III,1013 LT Amsterdam (Haarlemmerbuurt),"€2,250 per month",75 m²,3 rooms,Upholstered or furnished
Apartment Bloemgracht 169 A1,1016 KN Amsterdam (Jordaan),"€2,350 per month",80 m²,2 rooms,Upholstered or furnished
Apartment Julius Pergerstraat,1087 KP Amsterdam (IJburg Zuid),"€1,700 per month",80 m²,3 rooms,Upholstered
Apartment Van der Palmkade,1051 RE Amsterdam (Staatsliedenbuurt),"€2,150 per month",70 m²,2 rooms,Furnished
Apartment Bonairestraat,1058 XJ Amsterdam (Westindische Buurt),"€1,725 per month",55 m²,3 rooms,Furnished
Apartment Ponserstraat,1033 DL Amsterdam (Tuindorp Oostzaan),"€1,700 per month",60 m²,2 rooms,Furnished
Apartment Bovenover,1025 JJ Amsterdam (Buikslotermeer),"€2,100 per month",95 m²,4 rooms,Furnished
House Oosterpark,1092 AM Amsterdam (Oosterparkbuurt),"€3,750 per month",135 m²,4 rooms,Upholstered
Apartment Assendelftstraat 59,1013 SN Amsterdam (Spaarndammer- en Zeeheldenbuurt),"€1,850 per month",80 m²,4 rooms,Furnished
Apartment Tweede Oosterparkstraat,1091 HV Amsterdam (Oosterparkbuurt),"€1,700 per month",49 m²,2 rooms,Furnished
Apartment Buiten Kadijken 40,1018 ZS Amsterdam (Oostelijke Eilanden/Kadijken),"€2,000 per month",106 m²,3 rooms,Furnished
Apartment Hoofdweg 95 B,1058 BA Amsterdam (Westindische Buurt),"€1,750 per month",65 m²,3 rooms,Upholstered or furnished
Apartment Jacques Veltmanstraat 209,1065 DB Amsterdam (Slotervaart Zuid),"€1,950 per month",80 m²,2 rooms,Furnished
Apartment Laing's Nekstraat 37 2,1092 GT Amsterdam (Transvaalbuurt),"€1,950 per month",73 m²,3 rooms,Furnished
Apartment Distelweg,1031 HD Amsterdam (Noordelijke IJ-oevers West),"€2,650 per month",87 m²,3 rooms,Furnished
Apartment Insulindeweg,1094 PR Amsterdam (Indische Buurt West),"€1,900 per month",75 m²,3 rooms,Furnished
Apartment Pieter Baststraat,1071 TW Amsterdam (Museumkwartier),"€3,000 per month",115 m²,4 rooms,Furnished
Apartment Spuistraat 3 F 4,1012 SP Amsterdam (Burgwallen-Nieuwe Zijde),"€1,850 per month",49 m²,2 rooms,Furnished
Apartment Smaragdstraat,1074 HE Amsterdam (Zuid Pijp),"€1,675 per month",57 m²,3 rooms,Furnished
Apartment Jacob van Lennepkade,1054 ZG Amsterdam (Helmersbuurt),"€1,800 per month",50 m²,2 rooms,Furnished
House Henriëtte Bosmansstraat 38,1077 XJ Amsterdam (Prinses Irenebuurt e.o.),"€7,500 per month",220 m²,7 rooms,Upholstered
Apartment Hertspieghelweg,1055 KM Amsterdam (Landlust),"€1,850 per month",60 m²,3 rooms,Furnished
Apartment Lootsstraat 3 2,1053 NT Amsterdam (Van Lennepbuurt),"€1,750 per month",50 m²,2 rooms,Upholstered
Apartment Marnixstraat 313 D,1016 TB Amsterdam (Jordaan),"€1,850 per month",50 m²,2 rooms,Upholstered
Apartment Arent Janszoon Ernststraat,1083 JN Amsterdam (Buitenveldert-Oost),"€2,200 per month",110 m²,4 rooms,Upholstered or furnished
Apartment Valeriusstraat,1075 EX Amsterdam (Willemspark),"€1,800 per month",62 m²,2 rooms,Upholstered
Apartment Krom Boomssloot,1011 MC Amsterdam (Nieuwmarkt/Lastage),"€2,000 per month",90 m²,4 rooms,Upholstered
